"ko_id","symbol","name"
"K15277"," SLC35B3, PAPST2"," solute carrier family 35 (adenosine 3'-phospho 5'-phosphosulfate transporter), member B3"
"K02732"," PSMB1"," 20S proteasome subunit beta 6 [EC:3.4.25.1]"
"K11838"," USP7, UBP15"," ubiquitin carboxyl-terminal hydrolase 7 [EC:3.4.19.12]"
"K14575"," AFG2, DRG1, SPATA5"," AAA family ATPase"
"K10443"," KLHL2_3"," kelch-like protein 2/3"
"K07048"," PTER, php"," phosphotriesterase-related protein"
"K00611"," OTC, argF, argI"," ornithine carbamoyltransferase [EC:2.1.3.3]"
"K00939"," adk, AK"," adenylate kinase [EC:2.7.4.3]"
"K02945"," RP-S1, rpsA"," small subunit ribosomal protein S1"
"K15446"," TRM13, CCDC76"," tRNA:m4X modification enzyme [EC:2.1.1.225]"
"K01477"," alc, ALLC"," allantoicase [EC:3.5.3.4]"
"K15463"," RIT1"," tRNA A64-2'-O-ribosylphosphate transferase [EC:2.4.2.-]"
"K02358"," tuf, TUFM"," elongation factor Tu"
"K20715"," PHOT"," phototropin [EC:2.7.11.1]"
"K03115"," CSNK2B"," casein kinase II subunit beta"
"K14797"," ENP1, BYSL"," essential nuclear protein 1"
"K10520"," ABTB1, BPOZ"," ankyrin repeat and BTB/POZ domain-containing protein 1"
"K10470"," KBTBD2"," kelch repeat and BTB domain-containing protein 2"
"K10475"," KBTBD8"," kelch repeat and BTB domain-containing protein 8"
"K09272"," SSRP1, POB3"," FACT complex subunit SSRP1/POB3"
"K17890"," ATG16L1"," autophagy-related protein 16-1"
"K13648"," GAUT"," alpha-1,4-galacturonosyltransferase [EC:2.4.1.43]"
"K14137"," PTAR1"," protein prenyltransferase alpha subunit repeat containing protein 1"
"K02021"," ABC.MR"," putative ABC transport system ATP-binding protein"
"K05653"," ABCB2, TAP1"," ATP-binding cassette, subfamily B (MDR/TAP), member 2 [EC:7.4.2.14]"
"K05654"," ABCB3, TAP2"," ATP-binding cassette, subfamily B (MDR/TAP), member 3 [EC:7.4.2.14]"
"K05656"," ABCB9, TAPL"," ATP-binding cassette, subfamily B (MDR/TAP), member 9"
"K20362"," YIF1"," protein transport protein YIF1"
"K06072"," DOHH"," deoxyhypusine monooxygenase [EC:1.14.99.29]"
"K00273"," DAO, aao"," D-amino-acid oxidase [EC:1.4.3.3]"
"K11699"," RDR, RDRP"," RNA-dependent RNA polymerase [EC:2.7.7.48]"
"K07200"," PRKAG"," 5'-AMP-activated protein kinase, regulatory gamma subunit"
"K08738"," CYC"," cytochrome c"
"K22074"," NFU1, HIRIP5"," NFU1 iron-sulfur cluster scaffold homolog, mitochondrial"
"K11121"," SIR2"," NAD+-dependent protein deacetylase SIR2 [EC:2.3.1.286]"
"K01922"," PPCS, COAB"," phosphopantothenate---cysteine ligase (ATP) [EC:6.3.2.51]"
"K01895"," ACSS1_2, acs"," acetyl-CoA synthetase [EC:6.2.1.1]"
"K10588"," UBE3B"," ubiquitin-protein ligase E3 B [EC:2.3.2.26]"
"K00787"," FDPS"," farnesyl diphosphate synthase [EC:2.5.1.1 2.5.1.10]"
"K06134"," COQ7"," 3-demethoxyubiquinol 3-hydroxylase [EC:1.14.99.60]"
"K09595"," HM13"," minor histocompatibility antigen H13 [EC:3.4.23.-]"
"K19073"," DVR"," divinyl chlorophyllide a 8-vinyl-reductase [EC:1.3.1.75]"
"K08272"," CAB39, MO25"," calcium binding protein 39"
"K00854"," xylB, XYLB"," xylulokinase [EC:2.7.1.17]"
"K11826"," AP2M1"," AP-2 complex subunit mu-1"
"K10686"," UBA3, UBE1C"," NEDD8-activating enzyme E1 [EC:6.2.1.64]"
"K11338"," RUVBL2, RVB2, INO80J"," RuvB-like protein 2 [EC:5.6.2.3]"
"K17263"," CAND1, TIP120A"," cullin-associated NEDD8-dissociated protein 1"
"K06699"," PSME4"," proteasome activator subunit 4"
"K21915"," KCTD3"," BTB/POZ domain-containing protein KCTD3"
"K01286"," E3.4.16.4"," D-alanyl-D-alanine carboxypeptidase [EC:3.4.16.4]"
"K11806"," DCAF13, WDSOF1"," DDB1- and CUL4-associated factor 13"
"K01923"," purC"," phosphoribosylaminoimidazole-succinocarboxamide synthase [EC:6.3.2.6]"
"K00649"," GNPAT"," glyceronephosphate O-acyltransferase [EC:2.3.1.42]"
"K13356"," FAR"," alcohol-forming fatty acyl-CoA reductase [EC:1.2.1.84]"
"K16465"," CETN1"," centrin-1"
"K22262"," WDFY3, ALFY"," WD repeat and FYVE domain-containing protein 3"
"K11279"," NAP1L1, NRP"," nucleosome assembly protein 1-like 1"
"K00310"," SE"," pyrimidodiazepine synthase [EC:1.5.4.1]"
"K02144"," ATPeV1H"," V-type H+-transporting ATPase subunit H"
"K22503"," DARS1"," aspartyl-tRNA synthetase [EC:6.1.1.12]"
"K01886"," QARS, glnS"," glutaminyl-tRNA synthetase [EC:6.1.1.18]"
"K15356"," GONST1_2, VRG4"," GDP-mannose transporter"
"K17678"," MRH4"," ATP-dependent RNA helicase MRH4, mitochondrial [EC:3.6.4.13]"
"K13420"," FLS2"," LRR receptor-like serine/threonine-protein kinase FLS2 [EC:2.7.11.1]"
"K08665"," HPN"," hepsin [EC:3.4.21.106]"
"K09637"," TMPRSS6"," transmembrane protease serine 6 [EC:3.4.21.-]"
"K07508"," ACAA2"," acetyl-CoA acyltransferase 2 [EC:2.3.1.16]"
"K10523"," SPOP"," speckle-type POZ protein"
"K01937"," pyrG, CTPS"," CTP synthase [EC:6.3.4.2]"
"K02276"," coxC, ctaE"," cytochrome c oxidase subunit III [EC:7.1.1.9]"
"K04646"," CLTC"," clathrin heavy chain"
"K17867"," DPH4, DNAJC24"," diphthamide biosynthesis protein 4"
"K12394"," AP1S1_2"," AP-1 complex subunit sigma 1/2"
"K21104"," E3.1.1.101"," poly(ethylene terephthalate) hydrolase [EC:3.1.1.101]"
"K15285"," SLC35E3"," solute carrier family 35, member E3"
"K14016"," UFD1"," ubiquitin fusion degradation protein 1"
"K03522"," fixB, etfA"," electron transfer flavoprotein alpha subunit"
"K14440"," SMARCAL1, HARP"," SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A-like protein 1 [EC:5.6.2.-]"
"K10902"," RECQL5"," ATP-dependent DNA helicase Q5 [EC:5.6.2.4]"
"K18080"," TNS"," tensin"
"K15113"," SLC25A28_37, MFRN"," solute carrier family 25 (mitochondrial iron transporter), member 28/37"
"K14709"," SLC39A1_2_3, ZIP1_2_3"," solute carrier family 39 (zinc transporter), member 1/2/3"
"K18533"," AK9"," adenylate/nucleoside-diphosphate kinase [EC:2.7.4.3 2.7.4.6]"
"K19788"," OLA1"," obg-like ATPase 1"
"K15987"," hppA"," K(+)-stimulated pyrophosphate-energized sodium pump [EC:7.2.3.1]"
"K03593"," mrp, NUBPL"," ATP-binding protein involved in chromosome partitioning"
"K12011"," TRIM31"," tripartite motif-containing protein 31 [EC:2.3.2.27]"
"K09866"," AQP4"," aquaporin-4"
"K09885"," AQPF"," aquaporin rerated protein, other eukaryote"
"K03168"," topA"," DNA topoisomerase I [EC:5.6.2.1]"
"K06693"," PSMD9, RPN4"," 26S proteasome regulatory subunit N4"
"K02493"," hemK, prmC, HEMK"," release factor glutamine methyltransferase [EC:2.1.1.297]"
"K17496"," TIM50"," mitochondrial import inner membrane translocase subunit TIM50"
"K15078"," SLX1"," structure-specific endonuclease subunit SLX1 [EC:3.6.1.-]"
"K03553"," recA"," recombination protein RecA"
"K08269"," ULK2, ATG1"," serine/threonine-protein kinase ULK2 [EC:2.7.11.1]"
"K07636"," phoR"," two-component system, OmpR family, phosphate regulon sensor histidine kinase PhoR [EC:2.7.13.3]"
"K17623"," PUDP, HDHD1"," pseudouridine 5'-phosphatase [EC:3.1.3.96]"
"K09506"," DNAJA5"," DnaJ homolog subfamily A member 5"
"K10641"," LRSAM1"," E3 ubiquitin-protein ligase LRSAM1 [EC:2.3.2.27]"
"K02259"," COX15, ctaA"," heme a synthase [EC:1.17.99.9]"
"K19619"," TDP2"," tyrosyl-DNA phosphodiesterase 2 [EC:3.1.4.-]"
"K03027"," RPAC1, RPC40, POLR1C"," DNA-directed RNA polymerases I and III subunit RPAC1"
"K12194"," CHMP4A_B, SNF7, VPS32A_B"," charged multivesicular body protein 4A/B"
"K10756"," RFC3_5"," replication factor C subunit 3/5"
"K15423"," PPP4C"," serine/threonine-protein phosphatase 4 catalytic subunit [EC:3.1.3.16]"
"K13025"," EIF4A3, FAL1"," ATP-dependent RNA helicase [EC:3.6.4.13]"
"K10862"," TDP1"," tyrosyl-DNA phosphodiesterase 1 [EC:3.1.4.-]"
"K00996"," rfbP"," undecaprenyl-phosphate galactose phosphotransferase [EC:2.7.8.6]"
"K13012"," wbqP"," O-antigen biosynthesis protein WbqP"
"K16554"," exoP, vpsO"," polysaccharide biosynthesis transport protein [EC:2.7.10.3]"
"K00225"," GLDH"," L-galactono-1,4-lactone dehydrogenase [EC:1.3.2.3]"
"K18466"," VPS26A_B"," vacuolar protein sorting-associated protein 26A/B"
"K02641"," petH"," ferredoxin--NADP+ reductase [EC:1.18.1.2]"
"K01074"," PPT"," palmitoyl-protein thioesterase [EC:3.1.2.22]"
"K05995"," pepE"," dipeptidase E [EC:3.4.13.21]"
"K15083"," RAD16"," DNA repair protein RAD16"
"K03076"," secY"," preprotein translocase subunit SecY"
"K01507"," ppa"," inorganic pyrophosphatase [EC:3.6.1.1]"
"K15424"," PPP4R1"," serine/threonine-protein phosphatase 4 regulatory subunit 1"
"K08844"," LRRK2"," leucine-rich repeat kinase 2 [EC:2.7.11.1]"
"K09415"," HSF2"," heat shock transcription factor 2"
"K09416"," HSF3"," heat shock transcription factor 3"
"K19525"," VPS13A_C"," vacuolar protein sorting-associated protein 13A/C"
"K17662"," CBP3, UQCC"," cytochrome b pre-mRNA-processing protein 3"
"K03650"," mnmE, trmE, MSS1"," tRNA modification GTPase [EC:3.6.-.-]"
"K05956"," RABGGTB"," geranylgeranyl transferase type-2 subunit beta [EC:2.5.1.60]"
"K04382"," PPP2C"," serine/threonine-protein phosphatase 2A catalytic subunit [EC:3.1.3.16]"
"K13789"," GGPS"," geranylgeranyl diphosphate synthase, type II [EC:2.5.1.1 2.5.1.10 2.5.1.29]"
"K15276"," SLC35B2, PAPST1"," solute carrier family 35 (adenosine 3'-phospho 5'-phosphosulfate transporter), member B2"
"K18405"," TDRD1_4_6_7"," tudor domain-containing protein 1/4/6/7"
"K22381"," ZNF598"," E3 ubiquitin-protein ligase ZNF598 [EC:2.3.2.27]"
"K00640"," cysE"," serine O-acetyltransferase [EC:2.3.1.30]"
"K11971"," RNF14, ARA54"," E3 ubiquitin-protein ligase RNF14 [EC:2.3.2.31]"
"K15304"," RANBP3"," Ran-binding protein 3"
"K18691"," mltF"," membrane-bound lytic murein transglycosylase F [EC:4.2.2.-]"
"K08504"," BET1"," blocked early in transport 1"
"K08498"," STX6"," syntaxin 6"
"K01303"," APEH"," acylaminoacyl-peptidase [EC:3.4.19.1]"
"K19720"," COL3A"," collagen type III alpha"
"K01195"," uidA, GUSB"," beta-glucuronidase [EC:3.2.1.31]"
"K17817"," NUDT18, MTH3"," 8-oxo-dGDP phosphatase [EC:3.6.1.58]"
"K00326"," CYB5R"," cytochrome-b5 reductase [EC:1.6.2.2]"
"K17081"," PHB2"," prohibitin 2"
"K01061"," E3.1.1.45"," carboxymethylenebutenolidase [EC:3.1.1.45]"
"K03794"," sirB"," sirohydrochlorin ferrochelatase [EC:4.99.1.4]"
"K03011"," RPB3, POLR2C"," DNA-directed RNA polymerase II subunit RPB3"
"K01854"," glf"," UDP-galactopyranose mutase [EC:5.4.99.9]"
"K02469"," gyrA"," DNA gyrase subunit A [EC:5.6.2.2]"
"K10632"," BRAP"," BRCA1-associated protein [EC:2.3.2.27]"
"K11424"," WHSC1, MMSET, NSD2"," [histone H3]-lysine36 N-dimethyltransferase NSD2 [EC:2.1.1.357]"
"K15588"," NSD1"," [histone H3]-lysine36 N-dimethyltransferase NSD1 [EC:2.1.1.357]"
"K01930"," FPGS"," folylpolyglutamate synthase [EC:6.3.2.17]"
"K03106"," SRP54, ffh"," signal recognition particle subunit SRP54 [EC:3.6.5.4]"
"K13143"," INTS6, DDX26"," integrator complex subunit 6"
"K00485"," FMO"," dimethylaniline monooxygenase (N-oxide forming) / hypotaurine monooxygenase [EC:1.14.13.8 1.8.1.-]"
"K12872"," RBM22, SLT11"," pre-mRNA-splicing factor RBM22/SLT11"
"K15027"," EIF2D"," translation initiation factor 2D"
"K09519"," DNAJB13"," DnaJ homolog subfamily B member 13"
"K00390"," cysH"," phosphoadenosine phosphosulfate reductase [EC:1.8.4.8 1.8.4.10]"
"K11166"," DHRS7B"," dehydrogenase/reductase SDR family member 7B [EC:1.1.-.-]"
"K09123"," lhpI"," cis-L-3-hydroxyproline dehydratase [EC:4.2.1.171]"
"K11529"," gck, gckA, GLYCTK"," glycerate 2-kinase [EC:2.7.1.165]"
"K12179"," COPS6, CSN6"," COP9 signalosome complex subunit 6"
"K14396"," PABPN1, PABP2"," polyadenylate-binding protein 2"
"K05303"," K05303"," O-methyltransferase [EC:2.1.1.-]"
"K15996"," tylF"," macrocin O-methyltransferase [EC:2.1.1.101]"
"K19569"," elmMIII"," 8-demethyl-8-(2,3-dimethoxy-alpha-L-rhamnosyl)tetracenomycin-C 4'-O-methyltransferase [EC:2.1.1.307]"
"K06188"," aqpZ"," aquaporin Z"
"K17989"," SDS, SDH, CHA1"," L-serine/L-threonine ammonia-lyase [EC:4.3.1.17 4.3.1.19]"
"K02954"," RP-S14, MRPS14, rpsN"," small subunit ribosomal protein S14"
"K02994"," RP-S8, rpsH"," small subunit ribosomal protein S8"
"K01270"," pepD"," dipeptidase D [EC:3.4.13.-]"
"K01756"," purB, ADSL"," adenylosuccinate lyase [EC:4.3.2.2]"
"K13026"," DHX57"," ATP-dependent RNA helicase DHX57 [EC:3.6.4.13]"
"K17680"," PEO1"," twinkle protein [EC:5.6.2.3]"
"K11273"," DDX11, CHL1, CTF1"," chromosome transmission fidelity protein 1 [EC:3.6.4.13]"
"K01999"," livK"," branched-chain amino acid transport system substrate-binding protein"
"K02716"," psbO"," photosystem II oxygen-evolving enhancer protein 1"
"K04563"," CDC28, CDC2"," cyclin-dependent kinase [EC:2.7.11.22]"
"K00616"," TALDO1, talB, talA"," transaldolase [EC:2.2.1.2]"
"K08314"," fsaB, talC"," fructose-6-phosphate aldolase 2 [EC:4.1.2.-]"
"K14721"," RPC5, POLR3E"," DNA-directed RNA polymerase III subunit RPC5"
"K01814"," hisA"," phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase [EC:5.3.1.16]"
"K10837"," PSTK"," O-phosphoseryl-tRNA(Sec) kinase [EC:2.7.1.164]"
"K06767"," DSCAM"," Down syndrome cell adhesion molecule"
"K10779"," ATRX"," transcriptional regulator ATRX"
"K10876"," RAD54L2"," RAD54-like protein 2 [EC:5.6.2.-]"
"K01698"," hemB, ALAD"," porphobilinogen synthase [EC:4.2.1.24]"
"K08369"," ydjE"," MFS transporter, putative metabolite:H+ symporter"
"K01586"," lysA"," diaminopimelate decarboxylase [EC:4.1.1.20]"
"K06634"," CCNH"," cyclin H"
"K14298"," RAE1, GLE2"," mRNA export factor"
"K11269"," CTF18, CHL12"," chromosome transmission fidelity protein 18"
"K18849"," BMT2"," 25S rRNA (adenine2142-N1)-methyltransferase [EC:2.1.1.286]"
"K03039"," PSMD13, RPN9"," 26S proteasome regulatory subunit N9"
"K03750"," moeA"," molybdopterin molybdotransferase [EC:2.10.1.1]"
"K00218"," por"," protochlorophyllide reductase [EC:1.3.1.33]"
"K01358"," clpP, CLPP"," ATP-dependent Clp protease, protease subunit [EC:3.4.21.92]"
"K02028"," ABC.PA.A"," polar amino acid transport system ATP-binding protein [EC:7.4.2.1]"
"K02029"," ABC.PA.P"," polar amino acid transport system permease protein"
"K09972"," aapP, bztD"," general L-amino acid transport system ATP-binding protein [EC:7.4.2.1]"
"K09971"," aapM, bztC"," general L-amino acid transport system permease protein"
"K10002"," gltK, aatM"," glutamate/aspartate transport system permease protein"
"K10037"," glnP"," glutamine transport system permease protein"
"K04445"," RPS6KA5, MSK1"," ribosomal protein S6 kinase alpha-5 [EC:2.7.11.1]"
"K09014"," sufB"," Fe-S cluster assembly protein SufB"
"K13628"," iscA"," iron-sulfur cluster assembly protein"
"K18163"," NDUFAF6"," NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 6"
"K04734"," NFKBIA"," NF-kappa-B inhibitor alpha"
"K16362"," FLRT"," leucine-rich repeat transmembrane protein FLRT"
"K21806"," VCPKMT, METTL21D"," protein N-lysine methyltransferase METTL21D [EC:2.1.1.-]"
"K13118"," DGCR14"," protein DGCR14"
"K15498"," PPP6C"," serine/threonine-protein phosphatase 6 catalytic subunit [EC:3.1.3.16]"
"K20307"," TRAPPC10, TRS130"," trafficking protein particle complex subunit 10"
"K17584"," PCIF1"," phosphorylated CTD-interacting factor 1"
"K18164"," NDUFAF7"," NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 7"
"K11585"," CBX1, HP1B, SWI6"," chromobox protein 1"
"K11586"," CBX3, HP1G"," chromobox protein 3"
"K11587"," CBX5, HP1A"," chromobox protein 5"
"K13254"," SPAST"," spastin [EC:5.6.1.1]"
"K15397"," KCS"," 3-ketoacyl-CoA synthase [EC:2.3.1.199]"
"K05747"," WAS"," Wiskott-Aldrich syndrome protein"
"K07604"," KRT1"," type I keratin, acidic"
"K07605"," KRT2"," type II keratin, basic"
"K14317"," NUP214, CAN"," nuclear pore complex protein Nup214"
"K03358"," APC11, ANAPC11"," anaphase-promoting complex subunit 11"
"K03094"," SKP1, CBF3D"," S-phase kinase-associated protein 1"
"K03442"," mscS"," small conductance mechanosensitive channel"
"K13179"," DDX18, HAS1"," ATP-dependent RNA helicase DDX18/HAS1 [EC:3.6.4.13]"
"K09584"," PDIA6, TXNDC7"," protein disulfide-isomerase A6 [EC:5.3.4.1]"
"K20354"," PDILT"," protein disulfide-isomerase-like protein of the testis"
"K12501"," HST"," homogentisate solanesyltransferase [EC:2.5.1.117]"
"K01519"," rdgB, ITPA"," XTP/dITP diphosphohydrolase [EC:3.6.1.66]"
"K03136"," TFIIE1, GTF2E1, TFA1, tfe"," transcription initiation factor TFIIE subunit alpha"
"K00026"," MDH2"," malate dehydrogenase [EC:1.1.1.37]"
"K01958"," PC, pyc"," pyruvate carboxylase [EC:6.4.1.1]"
"K00249"," ACADM, acd"," acyl-CoA dehydrogenase [EC:1.3.8.7]"
"K05955"," FNTA"," protein farnesyltransferase/geranylgeranyltransferase type-1 subunit alpha [EC:2.5.1.58 2.5.1.59]"
"K01876"," DARS2, aspS"," aspartyl-tRNA synthetase [EC:6.1.1.12]"
"K15223"," UAF30, SPP27"," upstream activation factor subunit UAF30"
"K15551"," tauA"," taurine transport system substrate-binding protein"
"K14811"," DBP3"," ATP-dependent RNA helicase DBP3 [EC:3.6.4.13]"
"K00767"," nadC, QPRT"," nicotinate-nucleotide pyrophosphorylase (carboxylating) [EC:2.4.2.19]"
"K06685"," MOB1, Mats"," MOB kinase activator 1"
"K21121"," NAA60"," N-alpha-acetyltransferase 60 [EC:2.3.1.259]"
"K10863"," APTX"," aprataxin [EC:3.6.1.70 3.6.1.71 3.6.1.72]"
"K03545"," tig"," trigger factor"
"K20029"," ZDHHC3_7_25"," palmitoyltransferase ZDHHC3/7/25 [EC:2.3.1.225]"
"K17804"," TIM44"," mitochondrial import inner membrane translocase subunit TIM44"
"K06675"," SMC4"," structural maintenance of chromosome 4"
"K14765"," NGDN, LCP5"," U3 small nucleolar ribonucleoprotein protein LCP5"
"K10594"," HERC1"," E3 ubiquitin-protein ligase HERC1 [EC:2.3.2.26]"
"K03499"," trkA, ktrA, ktrC"," trk/ktr system potassium uptake protein"
"K01739"," metB"," cystathionine gamma-synthase [EC:2.5.1.48]"
"K01758"," CTH"," cystathionine gamma-lyase [EC:4.4.1.1]"
"K01760"," metC"," cysteine-S-conjugate beta-lyase [EC:4.4.1.13]"
"K07483"," K07483"," transposase"
"K08489"," STX16"," syntaxin 16"
"K06872"," K06872"," uncharacterized protein"
"K07897"," RAB7A"," Ras-related protein Rab-7A"
"K16185"," RRAGA_B"," Ras-related GTP-binding protein A/B"
"K02925"," RP-L3e, RPL3"," large subunit ribosomal protein L3e"
"K00505"," TYR"," tyrosinase [EC:1.14.18.1]"
"K03949"," NDUFA5"," NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 5"
"K20175"," ANKRD27"," ankyrin repeat domain-containing protein 27"
"K13448"," CML"," calcium-binding protein CML"
"K19306"," BUD23"," 18S rRNA (guanine1575-N7)-methyltransferase [EC:2.1.1.309]"
"K17968"," TRIAP1, MDM35"," TRIAP1/MDM35 family protein"
"K12817"," PRPF18, PRP18"," pre-mRNA-splicing factor 18"
"K09527"," DNAJC7"," DnaJ homolog subfamily C member 7"
"K16365"," SGTA"," small glutamine-rich tetratricopeptide repeat-containing protein alpha"
"K07512"," MECR, NRBF1"," mitochondrial enoyl-[acyl-carrier protein] reductase / trans-2-enoyl-CoA reductase [EC:1.3.1.- 1.3.1.38]"
"K10365"," CAPZB"," F-actin-capping protein subunit beta"
"K11717"," sufS"," cysteine desulfurase / selenocysteine lyase [EC:2.8.1.7 4.4.1.16]"
"K17868"," DPH7, RRT2"," diphthine methyl ester acylhydrolase [EC:3.1.1.97]"
"K17605"," PPP2R4, PTPA"," serine/threonine-protein phosphatase 2A activator"
"K01866"," YARS, tyrS"," tyrosyl-tRNA synthetase [EC:6.1.1.1]"
"K03088"," rpoE"," RNA polymerase sigma-70 factor, ECF subfamily"
"K16075"," MRS2, MFM1"," magnesium transporter"
"K03246"," EIF3I"," translation initiation factor 3 subunit I"
"K02867"," RP-L11, MRPL11, rplK"," large subunit ribosomal protein L11"
"K03259"," EIF4E"," translation initiation factor 4E"
"K00915"," IPMK, IPK2"," inositol-polyphosphate multikinase [EC:2.7.1.140 2.7.1.151]"
"K04709"," LAG1, LAC1"," very-long-chain ceramide synthase [EC:2.3.1.297]"
"K04710"," CERS1, LASS1"," sphingoid base N-stearoyltransferase [EC:2.3.1.299]"
"K00608"," pyrBI"," aspartate carbamoyltransferase [EC:2.1.3.2]"
"K00609"," pyrB, PYR2"," aspartate carbamoyltransferase catalytic subunit [EC:2.1.3.2]"
"K14566"," UTP24, FCF1"," U3 small nucleolar RNA-associated protein 24"
"K11518"," TOM40"," mitochondrial import receptor subunit TOM40"
"K01011"," TST, MPST, sseA"," thiosulfate/3-mercaptopyruvate sulfurtransferase [EC:2.8.1.1 2.8.1.2]"
"K05591"," dbpA"," ATP-dependent RNA helicase DbpA [EC:3.6.4.13]"
"K19371"," DNAJC25"," DnaJ homolog subfamily C member 25"
"K09518"," DNAJB12"," DnaJ homolog subfamily B member 12"
"K09520"," DNAJB14"," DnaJ homolog subfamily B member 14"
"K03316"," TC.CPA1"," monovalent cation:H+ antiporter, CPA1 family"
"K06636"," SMC1"," structural maintenance of chromosome 1"
"K11728"," BPTF, E(bx)"," nucleosome-remodeling factor subunit BPTF"
"K13137"," STRAP, UNRIP"," serine-threonine kinase receptor-associated protein"
"K12761"," SNF1"," carbon catabolite-derepressing protein kinase [EC:2.7.11.1]"
"K13108"," SNIP1"," smad nuclear-interacting protein 1"
"K19008"," SIK1"," serine/threonine-protein kinase SIK1 [EC:2.7.11.1]"
"K06677"," YCS4, CNAP1, CAPD2"," condensin complex subunit 1"
"K14788"," NOL10, ENP2"," ribosome biogenesis protein ENP2"
"K00488"," CYP27A1"," cholestanetriol 26-monooxygenase [EC:1.14.15.15]"
"K07438"," CYP27B1"," calcidiol 1-monooxygenase (25-hydroxyvitamin D3 1alpha-hydroxylase) [EC:1.14.15.18]"
"K17951"," CYP27C1"," all-trans-retinol 3,4-desaturase [EC:1.14.19.53]"
"K10436"," MAPRE"," microtubule-associated protein, RP/EB family"
"K12870"," ISY1"," pre-mRNA-splicing factor ISY1"
"K12849"," PRPF38A"," pre-mRNA-splicing factor 38A"
"K19745"," acuI"," acrylyl-CoA reductase (NADPH) [EC:1.3.1.-]"
"K00761"," upp, UPRT"," uracil phosphoribosyltransferase [EC:2.4.2.9]"
"K07152"," SCO1"," protein SCO1"
"K13507"," GAT"," glycerol-3-phosphate O-acyltransferase / dihydroxyacetone phosphate acyltransferase [EC:2.3.1.15 2.3.1.42]"
"K05539"," dusA"," tRNA-dihydrouridine synthase A [EC:1.-.-.-]"
"K12321"," GUCY2D_E"," guanylate cyclase 2D/E [EC:4.6.1.2]"
"K01883"," CARS, cysS"," cysteinyl-tRNA synthetase [EC:6.1.1.16]"
"K14571"," RIX7, NVL"," ribosome biogenesis ATPase"
"K12329"," PPP1R12B, MYPT2"," protein phosphatase 1 regulatory subunit 12B"
"K09581"," PDIA2"," protein disulfide-isomerase A2 [EC:5.3.4.1]"
"K10843"," ERCC3, XPB"," DNA excision repair protein ERCC-3 [EC:5.6.2.4]"
"K01599"," hemE, UROD"," uroporphyrinogen decarboxylase [EC:4.1.1.37]"
"K18372"," acmB"," methyl acetate hydrolase [EC:3.1.1.114]"
"K10730"," RECQL4"," ATP-dependent DNA helicase Q4 [EC:5.6.2.4]"
"K14848"," RRB1, GRWD1"," ribosome assembly protein RRB1"
"K00495"," CYP71AN24"," phenylacetaldehyde oxime monooxygenase [EC:1.14.14.44]"
"K00512"," CYP17A"," steroid 17alpha-monooxygenase / 17alpha-hydroxyprogesterone deacetylase [EC:1.14.14.19 1.14.14.32]"
"K07408"," CYP1A1"," cytochrome P450 family 1 subfamily A1 [EC:1.14.14.1]"
"K07418"," CYP2J"," cytochrome P450 family 2 subfamily J [EC:1.14.14.1 1.14.14.73 1.14.14.74 1.14.14.75]"
"K11868"," CYP71A13"," indoleacetaldoxime dehydratase [EC:4.8.1.3]"
"K20617"," CYP71A"," cytochrome P450 family 71 subfamily A"
"K13509"," AGPAT1_2"," lysophosphatidate acyltransferase [EC:2.3.1.51]"
"K22071"," FDX2"," ferredoxin-2, mitochondrial"
"K14549"," UTP15"," U3 small nucleolar RNA-associated protein 15"
"K00226"," pyrD"," dihydroorotate dehydrogenase (fumarate) [EC:1.3.98.1]"
"K17268"," COPE"," coatomer subunit epsilon"
"K00615"," E2.2.1.1, tktA, tktB"," transketolase [EC:2.2.1.1]"
"K19269"," PGP, PGLP"," phosphoglycolate phosphatase [EC:3.1.3.18 3.1.3.48]"
"K02470"," gyrB"," DNA gyrase subunit B [EC:5.6.2.2]"
"K14950"," ATP13A1, SPF1"," manganese-transporting P-type ATPase [EC:7.2.2.-]"
"K06944"," DRG, RBG"," developmentally-regulated GTP-binding protein [EC:3.6.5.-]"
"K11087"," SNRPD1, SMD1"," small nuclear ribonucleoprotein D1"
"K08681"," pdxT, pdx2"," pyridoxal 5'-phosphate synthase pdxT subunit [EC:4.3.3.6]"
"K00868"," pdxK, pdxY"," pyridoxine kinase [EC:2.7.1.35]"
"K14840"," NOP53, GLTSCR2"," nucleolar protein 53"
"K15104"," SLC25A11, OGC"," solute carrier family 25 (mitochondrial oxoglutarate transporter), member 11"
"K18534"," K18534"," MPBQ/MSBQ methyltransferase [EC:2.1.1.295]"
"K19347"," SUN1_2"," SUN domain-containing protein 1/2"
"K10755"," RFC2_4"," replication factor C subunit 2/4"
"K15123"," SLC25A45_47"," solute carrier family 25, member 45/47"
"K15124"," SLC25A48"," solute carrier family 25, member 48"
"K14441"," rimO"," ribosomal protein S12 methylthiotransferase [EC:2.8.4.4]"
"K00227"," SC5DL, ERG3"," Delta7-sterol 5-desaturase [EC:1.14.19.20]"
"K09510"," DNAJB4"," DnaJ homolog subfamily B member 4"
