"orfs","ko_iteration","ko_id","V1"
"NODE_11810_length_2250_cov_85.487368_g2951_i2.p1","ko:_1","K03596",NA
"NODE_11810_length_2250_cov_85.487368_g2951_i2.p1","ko:_2","K04771",NA
"NODE_11810_length_2250_cov_85.487368_g2951_i2.p1","ko:_3","K21594",NA
"NODE_11811_length_2250_cov_84.915939_g5276_i0.p2","ko:_1","K00799",NA
"NODE_11812_length_2250_cov_75.963712_g5276_i1.p2","ko:_1","K00799",NA
"NODE_11814_length_2250_cov_42.544786_g4223_i2.p1","ko:_1","K01829",NA
"NODE_11814_length_2250_cov_42.544786_g4223_i2.p1","ko:_2","K09580",NA
"NODE_11814_length_2250_cov_42.544786_g4223_i2.p1","ko:_3","K09584",NA
"NODE_11815_length_2250_cov_33.468075_g2409_i4.p1","ko:_1","K12196",NA
"NODE_11817_length_2250_cov_31.761139_g4901_i1.p1","ko:_1","K11864",NA
"NODE_11819_length_2250_cov_26.694534_g4142_i2.p1","ko:_1","K17086",NA
"NODE_11820_length_2250_cov_13.816261_g5279_i0.p2","ko:_1","K01312",NA
"NODE_11821_length_2250_cov_5.237483_g5280_i0.p3","ko:_1","K07203",NA
"NODE_11822_length_2249_cov_1540.750460_g2886_i1.p4","ko:_1","K01623",NA
"NODE_11822_length_2249_cov_1540.750460_g2886_i1.p4","ko:_2","K15423",NA
"NODE_11822_length_2249_cov_1540.750460_g2886_i1.p1","ko:_1","K01623",NA
"NODE_11822_length_2249_cov_1540.750460_g2886_i1.p1","ko:_2","K15423",NA
"NODE_11824_length_2249_cov_424.365809_g5281_i0.p1","ko:_1","K00602",NA
"NODE_11824_length_2249_cov_424.365809_g5281_i0.p1","ko:_2","K06943",NA
"NODE_11825_length_2249_cov_308.704504_g3482_i2.p1","ko:_1","K10297",NA
"NODE_11826_length_2249_cov_134.898897_g4163_i2.p1","ko:_1","K01881",NA
"NODE_11828_length_2249_cov_66.401195_g5283_i0.p1","ko:_1","K16279",NA
"NODE_1182_length_4547_cov_30.164059_g485_i1.p2","ko:_1","K10352",NA
"NODE_1182_length_4547_cov_30.164059_g485_i1.p1","ko:_1","K10352",NA
"NODE_1182_length_4547_cov_30.164059_g485_i1.p1","ko:_2","K10358",NA
"NODE_1182_length_4547_cov_30.164059_g485_i1.p1","ko:_3","K17481",NA
"NODE_1182_length_4547_cov_30.164059_g485_i1.p1","ko:_4","K17751",NA
"NODE_11834_length_2249_cov_25.200368_g4914_i1.p2","ko:_1","K05720",NA
"NODE_11834_length_2249_cov_25.200368_g4914_i1.p2","ko:_2","K20045",NA
"NODE_11834_length_2249_cov_25.200368_g4914_i1.p3","ko:_1","K05720",NA
"NODE_11834_length_2249_cov_25.200368_g4914_i1.p3","ko:_2","K20045",NA
"NODE_11837_length_2248_cov_286.513563_g5288_i0.p2","ko:_1","K00600",NA
"NODE_11837_length_2248_cov_286.513563_g5288_i0.p2","ko:_2","K02974",NA
"NODE_11837_length_2248_cov_286.513563_g5288_i0.p1","ko:_1","K00600",NA
"NODE_11837_length_2248_cov_286.513563_g5288_i0.p1","ko:_2","K02974",NA
"NODE_11839_length_2248_cov_96.996322_g4461_i2.p1","ko:_1","K04860",NA
"NODE_11842_length_2248_cov_74.431724_g5289_i0.p1","ko:_1","K20889",NA
"NODE_11843_length_2248_cov_61.963218_g4724_i1.p1","ko:_1","K14537",NA
"NODE_11843_length_2248_cov_61.963218_g4724_i1.p1","ko:_2","K16474",NA
"NODE_11845_length_2248_cov_33.245977_g5290_i0.p1","ko:_1","K18727",NA
"NODE_11849_length_2248_cov_25.791724_g5291_i0.p1","ko:_1","K00164",NA
"NODE_11849_length_2248_cov_25.791724_g5291_i0.p1","ko:_2","K18163",NA
"NODE_11851_length_2248_cov_20.971954_g5292_i0.p1","ko:_1","K01081",NA
"NODE_11851_length_2248_cov_20.971954_g5292_i0.p1","ko:_2","K04608",NA
"NODE_11851_length_2248_cov_20.971954_g5292_i0.p1","ko:_3","K04612",NA
"NODE_11851_length_2248_cov_20.971954_g5292_i0.p1","ko:_4","K05750",NA
"NODE_11851_length_2248_cov_20.971954_g5292_i0.p1","ko:_5","K05857",NA
"NODE_11851_length_2248_cov_20.971954_g5292_i0.p1","ko:_6","K11268",NA
"NODE_11851_length_2248_cov_20.971954_g5292_i0.p1","ko:_7","K20305",NA
"NODE_11852_length_2248_cov_18.125977_g5293_i0.p1","ko:_1","K00135",NA
"NODE_11857_length_2247_cov_123.640294_g2083_i1.p6","ko:_1","K12865",NA
"NODE_11858_length_2247_cov_85.565317_g1714_i3.p1","ko:_1","K09420",NA
"NODE_11858_length_2247_cov_85.565317_g1714_i3.p1","ko:_2","K21769",NA
"NODE_11862_length_2247_cov_32.061638_g1428_i3.p1","ko:_1","K14436",NA
"NODE_11862_length_2247_cov_32.061638_g1428_i3.p1","ko:_2","K14437",NA
"NODE_11863_length_2247_cov_30.658694_g3666_i1.p1","ko:_1","K11795",NA
"NODE_11863_length_2247_cov_30.658694_g3666_i1.p1","ko:_2","K11804",NA
"NODE_11863_length_2247_cov_30.658694_g3666_i1.p1","ko:_3","K22204",NA
"NODE_11864_length_2247_cov_22.294388_g5297_i0.p1","ko:_1","K04498",NA
"NODE_11868_length_2246_cov_161.983433_g3779_i1.p1","ko:_1","K08955",NA
"NODE_11868_length_2246_cov_161.983433_g3779_i1.p1","ko:_2","K14948",NA
"NODE_11868_length_2246_cov_161.983433_g3779_i1.p1","ko:_3","K17796",NA
"NODE_11875_length_2246_cov_25.285780_g5302_i0.p1","ko:_1","K12818",NA
"NODE_11875_length_2246_cov_25.285780_g5302_i0.p1","ko:_2","K18711",NA
"NODE_11875_length_2246_cov_25.285780_g5302_i0.p2","ko:_1","K12818",NA
"NODE_11875_length_2246_cov_25.285780_g5302_i0.p2","ko:_2","K18711",NA
"NODE_11882_length_2245_cov_383.842541_g330_i9.p4","ko:_1","K07151",NA
"NODE_11883_length_2245_cov_154.124309_g817_i6.p1","ko:_1","K01408",NA
"NODE_11891_length_2245_cov_15.762891_g5310_i0.p1","ko:_1","K00902",NA
"NODE_11891_length_2245_cov_15.762891_g5310_i0.p1","ko:_2","K05542",NA
"NODE_11891_length_2245_cov_15.762891_g5310_i0.p1","ko:_3","K11236",NA
"NODE_11892_length_2244_cov_143.780286_g5311_i0.p1","ko:_1","K13510",NA
"NODE_11894_length_2244_cov_70.573929_g2212_i4.p1","ko:_1","K06119",NA
"NODE_11895_length_2244_cov_62.086596_g5312_i0.p1","ko:_1","K07452",NA
"NODE_11896_length_2244_cov_47.310456_g4594_i1.p1","ko:_1","K01593",NA
"NODE_11896_length_2244_cov_47.310456_g4594_i1.p2","ko:_1","K01593",NA
"NODE_11897_length_2244_cov_38.753109_g4173_i2.p1","ko:_1","K20782",NA
"NODE_1189_length_4537_cov_43.925851_g515_i0.p1","ko:_1","K05658",NA
"NODE_118_length_7194_cov_69.198708_g50_i0.p1","ko:_1","K11262",NA
"NODE_11900_length_2244_cov_30.294334_g5314_i0.p2","ko:_1","K21989",NA
"NODE_11901_length_2244_cov_27.922616_g4948_i1.p1","ko:_1","K00504",NA
"NODE_11901_length_2244_cov_27.922616_g4948_i1.p1","ko:_2","K16276",NA
"NODE_11901_length_2244_cov_27.922616_g4948_i1.p1","ko:_3","K18200",NA
"NODE_11902_length_2244_cov_24.018885_g4372_i1.p1","ko:_1","K14834",NA
"NODE_11904_length_2244_cov_6.770152_g5316_i0.p1","ko:_1","K00804",NA
"NODE_11904_length_2244_cov_6.770152_g5316_i0.p1","ko:_2","K11323",NA
"NODE_11905_length_2243_cov_856.568664_g1886_i5.p1","ko:_1","K14286",NA
"NODE_11906_length_2243_cov_707.433180_g4215_i1.p1","ko:_1","K00264",NA
"NODE_11906_length_2243_cov_707.433180_g4215_i1.p1","ko:_2","K00266",NA
"NODE_11906_length_2243_cov_707.433180_g4215_i1.p1","ko:_3","K17792",NA
"NODE_11907_length_2243_cov_80.560829_g4420_i3.p1","ko:_1","K05681",NA
"NODE_11912_length_2243_cov_48.741475_g4769_i1.p1","ko:_1","K21396",NA
"NODE_11914_length_2243_cov_31.452535_g2617_i1.p2","ko:_1","K04371",NA
"NODE_11914_length_2243_cov_31.452535_g2617_i1.p2","ko:_2","K20536",NA
"NODE_11914_length_2243_cov_31.452535_g2617_i1.p1","ko:_1","K04371",NA
"NODE_11914_length_2243_cov_31.452535_g2617_i1.p1","ko:_2","K20536",NA
"NODE_11916_length_2243_cov_20.014286_g5321_i0.p1","ko:_1","K03306",NA
"NODE_11916_length_2243_cov_20.014286_g5321_i0.p1","ko:_2","K14640",NA
"NODE_11919_length_2242_cov_431.188566_g5323_i0.p3","ko:_1","K22182",NA
"NODE_11921_length_2242_cov_60.970493_g5325_i0.p2","ko:_1","K01087",NA
"NODE_11921_length_2242_cov_60.970493_g5325_i0.p2","ko:_2","K05605",NA
"NODE_11921_length_2242_cov_60.970493_g5325_i0.p3","ko:_1","K01087",NA
"NODE_11921_length_2242_cov_60.970493_g5325_i0.p3","ko:_2","K05605",NA
"NODE_11925_length_2242_cov_34.218995_g2283_i4.p2","ko:_1","K06978",NA
"NODE_11927_length_2242_cov_21.779622_g4721_i1.p1","ko:_1","K11594",NA
"NODE_11927_length_2242_cov_21.779622_g4721_i1.p1","ko:_2","K16911",NA
"NODE_11928_length_2242_cov_9.426925_g5328_i0.p1","ko:_1","K04506",NA
"NODE_11929_length_2241_cov_194.193727_g2367_i1.p1","ko:_1","K14724",NA
"NODE_1192_length_4535_cov_25.908785_g517_i0.p1","ko:_1","K06642",NA
"NODE_1192_length_4535_cov_25.908785_g517_i0.p3","ko:_1","K06642",NA
"NODE_11930_length_2241_cov_183.884225_g4285_i1.p1","ko:_1","K02293",NA
"NODE_11933_length_2241_cov_97.958487_g5330_i0.p1","ko:_1","K00875",NA
"NODE_11933_length_2241_cov_97.958487_g5330_i0.p1","ko:_2","K02328",NA
"NODE_11933_length_2241_cov_97.958487_g5330_i0.p1","ko:_3","K14309",NA
"NODE_11933_length_2241_cov_97.958487_g5330_i0.p1","ko:_4","K16612",NA
"NODE_11934_length_2241_cov_97.401753_g882_i14.p1","ko:_1","K12200",NA
"NODE_11937_length_2241_cov_72.947417_g5331_i0.p1","ko:_1","K01915",NA
"NODE_11937_length_2241_cov_72.947417_g5331_i0.p1","ko:_2","K09523",NA
"NODE_11937_length_2241_cov_72.947417_g5331_i0.p1","ko:_3","K09527",NA
"NODE_11937_length_2241_cov_72.947417_g5331_i0.p1","ko:_4","K10443",NA
"NODE_11937_length_2241_cov_72.947417_g5331_i0.p1","ko:_5","K13956",NA
"NODE_11937_length_2241_cov_72.947417_g5331_i0.p2","ko:_1","K01915",NA
"NODE_11937_length_2241_cov_72.947417_g5331_i0.p2","ko:_2","K09523",NA
"NODE_11937_length_2241_cov_72.947417_g5331_i0.p2","ko:_3","K09527",NA
"NODE_11937_length_2241_cov_72.947417_g5331_i0.p2","ko:_4","K10443",NA
"NODE_11937_length_2241_cov_72.947417_g5331_i0.p2","ko:_5","K13956",NA
"NODE_11938_length_2241_cov_40.547970_g4898_i2.p4","ko:_1","K21919",NA
"NODE_11943_length_2240_cov_739.078911_g914_i2.p1","ko:_1","K00287",NA
"NODE_11943_length_2240_cov_739.078911_g914_i2.p1","ko:_2","K00560",NA
"NODE_11943_length_2240_cov_739.078911_g914_i2.p1","ko:_3","K13998",NA
"NODE_11943_length_2240_cov_739.078911_g914_i2.p3","ko:_1","K00287",NA
"NODE_11943_length_2240_cov_739.078911_g914_i2.p3","ko:_2","K00560",NA
"NODE_11943_length_2240_cov_739.078911_g914_i2.p3","ko:_3","K13998",NA
"NODE_11944_length_2240_cov_145.874942_g3101_i2.p1","ko:_1","K04730",NA
"NODE_11945_length_2240_cov_106.367328_g5221_i1.p2","ko:_1","K11095",NA
"NODE_1194_length_4531_cov_21.144235_g519_i0.p1","ko:_1","K14437",NA
"NODE_11950_length_2240_cov_42.463313_g5336_i0.p1","ko:_1","K00486",NA
"NODE_11953_length_2240_cov_35.909091_g363_i7.p3","ko:_1","K06888",NA
"NODE_11954_length_2240_cov_34.838486_g4448_i1.p1","ko:_1","K10750",NA
"NODE_11959_length_2240_cov_18.783572_g4614_i1.p1","ko:_1","K14569",NA
"NODE_11959_length_2240_cov_18.783572_g4614_i1.p1","ko:_2","K15009",NA
"NODE_11964_length_2239_cov_86.519852_g5344_i0.p2","ko:_1","K06643",NA
"NODE_11964_length_2239_cov_86.519852_g5344_i0.p2","ko:_2","K15283",NA
"NODE_11964_length_2239_cov_86.519852_g5344_i0.p2","ko:_3","K15285",NA
"NODE_11965_length_2239_cov_71.136196_g5345_i0.p2","ko:_1","K11797",NA
"NODE_11965_length_2239_cov_71.136196_g5345_i0.p2","ko:_2","K11798",NA
"NODE_11966_length_2239_cov_71.090028_g4270_i3.p1","ko:_1","K12160",NA
"NODE_11967_length_2239_cov_65.975069_g3997_i2.p3","ko:_1","K05863",NA
"NODE_11967_length_2239_cov_65.975069_g3997_i2.p3","ko:_2","K08869",NA
"NODE_11968_length_2239_cov_52.657895_g5346_i0.p1","ko:_1","K02516",NA
"NODE_1196_length_4529_cov_72.024910_g317_i4.p6","ko:_1","K06643",NA
"NODE_1196_length_4529_cov_72.024910_g317_i4.p6","ko:_2","K15283",NA
"NODE_1196_length_4529_cov_72.024910_g317_i4.p6","ko:_3","K15285",NA
"NODE_11971_length_2239_cov_38.635734_g5348_i0.p1","ko:_1","K01194",NA
"NODE_11973_length_2238_cov_686.978753_g2023_i2.p1","ko:_1","K00128",NA
"NODE_11973_length_2238_cov_686.978753_g2023_i2.p1","ko:_2","K01966",NA
"NODE_11974_length_2238_cov_305.183834_g5349_i0.p1","ko:_1","K03320",NA
"NODE_11977_length_2238_cov_73.599076_g5351_i0.p3","ko:_1","K05857",NA
"NODE_11977_length_2238_cov_73.599076_g5351_i0.p3","ko:_2","K19006",NA
"NODE_11977_length_2238_cov_73.599076_g5351_i0.p1","ko:_1","K05857",NA
"NODE_1197_length_4528_cov_25.082604_g325_i7.p10","ko:_1","K07465",NA
"NODE_1197_length_4528_cov_25.082604_g325_i7.p6","ko:_1","K18158",NA
"NODE_11982_length_2238_cov_35.087298_g5355_i0.p3","ko:_1","K00681",NA
"NODE_11982_length_2238_cov_35.087298_g5355_i0.p2","ko:_1","K00681",NA
"NODE_11984_length_2238_cov_26.812471_g4082_i1.p1","ko:_1","K10395",NA
"NODE_11984_length_2238_cov_26.812471_g4082_i1.p1","ko:_2","K18806",NA
"NODE_11986_length_2238_cov_8.006467_g5357_i0.p1","ko:_1","K14552",NA
"NODE_11989_length_2237_cov_104.194547_g5360_i0.p2","ko:_1","K00764",NA
"NODE_1198_length_4528_cov_4.224916_g152_i2.p1","ko:_1","K01641",NA
"NODE_11993_length_2237_cov_39.822551_g5361_i0.p3","ko:_1","K06276",NA
"NODE_11993_length_2237_cov_39.822551_g5361_i0.p3","ko:_2","K14768",NA
"NODE_11993_length_2237_cov_39.822551_g5361_i0.p1","ko:_1","K06276",NA
"NODE_11993_length_2237_cov_39.822551_g5361_i0.p1","ko:_2","K14768",NA
"NODE_11994_length_2237_cov_30.373383_g4913_i2.p4","ko:_1","K09493",NA
"NODE_11994_length_2237_cov_30.373383_g4913_i2.p2","ko:_1","K09493",NA
"NODE_11996_length_2237_cov_17.720887_g3956_i2.p1","ko:_1","K05657",NA
"NODE_11997_length_2237_cov_17.422828_g5363_i0.p4","ko:_1","K02218",NA
"NODE_11998_length_2237_cov_16.629852_g5364_i0.p1","ko:_1","K00901",NA
"NODE_11999_length_2237_cov_12.262939_g5365_i0.p1","ko:_1","K01381",NA
"NODE_11999_length_2237_cov_12.262939_g5365_i0.p1","ko:_2","K04521",NA
"NODE_11999_length_2237_cov_12.262939_g5365_i0.p1","ko:_3","K06004",NA
"NODE_11999_length_2237_cov_12.262939_g5365_i0.p1","ko:_4","K07747",NA
"NODE_1199_length_4527_cov_57.903233_g521_i0.p1","ko:_1","K11433",NA
"NODE_119_length_7183_cov_61.554852_g38_i1.p1","ko:_1","K09420",NA
"NODE_11_length_14638_cov_77.671198_g2_i1.p5","ko:_1","K06593",NA
"NODE_11_length_14638_cov_77.671198_g2_i1.p5","ko:_2","K12488",NA
"NODE_11_length_14638_cov_77.671198_g2_i1.p5","ko:_3","K13738",NA
"NODE_12001_length_2236_cov_203.034212_g5366_i0.p1","ko:_1","K03083",NA
"NODE_12002_length_2236_cov_84.587147_g5367_i0.p1","ko:_1","K03301",NA
"NODE_12003_length_2236_cov_78.758669_g5368_i0.p1","ko:_1","K03131",NA
"NODE_12004_length_2236_cov_76.838188_g821_i2.p1","ko:_1","K14439",NA
"NODE_12005_length_2236_cov_72.739251_g5369_i0.p1","ko:_1","K03355",NA
"NODE_12010_length_2236_cov_33.494683_g2971_i2.p1","ko:_1","K13336",NA
"NODE_12011_length_2236_cov_32.147943_g5372_i0.p1","ko:_1","K08869",NA
"NODE_12011_length_2236_cov_32.147943_g5372_i0.p4","ko:_1","K08869",NA
"NODE_12014_length_2236_cov_25.335645_g4996_i1.p1","ko:_1","K10862",NA
"NODE_12016_length_2236_cov_16.304669_g3474_i2.p1","ko:_1","K16342",NA
"NODE_12016_length_2236_cov_16.304669_g3474_i2.p1","ko:_2","K19219",NA
"NODE_12016_length_2236_cov_16.304669_g3474_i2.p1","ko:_3","K20989",NA
"NODE_12020_length_2235_cov_501.841351_g5377_i0.p3","ko:_1","K00831",NA
"NODE_12021_length_2235_cov_294.143848_g4772_i1.p1","ko:_1","K04457",NA
"NODE_12021_length_2235_cov_294.143848_g4772_i1.p1","ko:_2","K04461",NA
"NODE_12022_length_2235_cov_200.308511_g5378_i0.p1","ko:_1","K02974",NA
"NODE_12025_length_2235_cov_96.154487_g5191_i1.p3","ko:_1","K00472",NA
"NODE_12025_length_2235_cov_96.154487_g5191_i1.p3","ko:_2","K11136",NA
"NODE_12027_length_2235_cov_57.786772_g5381_i0.p3","ko:_1","K16862",NA
"NODE_1202_length_4522_cov_51.278939_g372_i2.p1","ko:_1","K00478",NA
"NODE_1202_length_4522_cov_51.278939_g372_i2.p1","ko:_2","K11449",NA
"NODE_1202_length_4522_cov_51.278939_g372_i2.p1","ko:_3","K15601",NA
"NODE_12032_length_2235_cov_20.748381_g5383_i0.p1","ko:_1","K00476",NA
"NODE_12032_length_2235_cov_20.748381_g5383_i0.p4","ko:_1","K00476",NA
"NODE_12033_length_2235_cov_16.628585_g5384_i0.p1","ko:_1","K09654",NA
"NODE_12033_length_2235_cov_16.628585_g5384_i0.p1","ko:_2","K20843",NA
"NODE_12036_length_2234_cov_617.382230_g5387_i0.p2","ko:_1","K00382",NA
"NODE_12036_length_2234_cov_617.382230_g5387_i0.p2","ko:_2","K17583",NA
"NODE_12037_length_2234_cov_122.774641_g1224_i2.p1","ko:_1","K01873",NA
"NODE_12038_length_2234_cov_110.840814_g3498_i2.p2","ko:_1","K01647",NA
"NODE_12038_length_2234_cov_110.840814_g3498_i2.p1","ko:_1","K01647",NA
"NODE_1203_length_4522_cov_25.485502_g522_i0.p2","ko:_1","K03372",NA
"NODE_12040_length_2234_cov_97.593244_g5388_i0.p2","ko:_1","K10130",NA
"NODE_12040_length_2234_cov_97.593244_g5388_i0.p1","ko:_1","K10130",NA
"NODE_12041_length_2234_cov_76.049514_g4933_i1.p1","ko:_1","K11294",NA
"NODE_12041_length_2234_cov_76.049514_g4933_i1.p1","ko:_2","K15026",NA
"NODE_12042_length_2234_cov_64.646923_g5389_i0.p1","ko:_1","K22395",NA
"NODE_12046_length_2234_cov_37.879685_g5391_i0.p1","ko:_1","K10644",NA
"NODE_12049_length_2234_cov_35.921795_g4066_i1.p1","ko:_1","K17866",NA
"NODE_12051_length_2234_cov_18.797779_g5395_i0.p1","ko:_1","K10771",NA
"NODE_12052_length_2234_cov_17.689958_g5396_i0.p1","ko:_1","K17586",NA
"NODE_12053_length_2234_cov_11.273947_g5397_i0.p1","ko:_1","K08835",NA
"NODE_12062_length_2233_cov_12.134722_g3159_i2.p1","ko:_1","K01049",NA
"NODE_12067_length_2232_cov_187.323761_g4117_i1.p2","ko:_1","K04498",NA
"NODE_12068_length_2232_cov_186.127374_g3530_i1.p1","ko:_1","K12736",NA
"NODE_12069_length_2232_cov_156.196850_g3242_i2.p1","ko:_1","K01230",NA
"NODE_1206_length_4517_cov_14.520252_g524_i0.p1","ko:_1","K17275",NA
"NODE_1206_length_4517_cov_14.520252_g524_i0.p1","ko:_2","K17276",NA
"NODE_12070_length_2232_cov_97.132006_g4639_i1.p1","ko:_1","K00387",NA
"NODE_12070_length_2232_cov_97.132006_g4639_i1.p3","ko:_1","K00387",NA
"NODE_12071_length_2232_cov_46.195461_g4473_i2.p1","ko:_1","K08869",NA
"NODE_12072_length_2232_cov_36.420565_g5405_i0.p1","ko:_1","K02350",NA
"NODE_12076_length_2231_cov_1146.810936_g5407_i0.p1","ko:_1","K00236",NA
"NODE_12076_length_2231_cov_1146.810936_g5407_i0.p1","ko:_2","K04043",NA
"NODE_12077_length_2231_cov_364.541705_g5408_i0.p1","ko:_1","K03247",NA
"NODE_12077_length_2231_cov_364.541705_g5408_i0.p1","ko:_2","K15744",NA
"NODE_12082_length_2231_cov_51.248842_g3475_i2.p1","ko:_1","K11850",NA
"NODE_12083_length_2231_cov_51.241891_g3475_i3.p1","ko:_1","K11850",NA
"NODE_12084_length_2231_cov_47.243281_g4594_i2.p3","ko:_1","K01593",NA
"NODE_12084_length_2231_cov_47.243281_g4594_i2.p1","ko:_1","K01593",NA
"NODE_12088_length_2231_cov_23.080167_g3753_i1.p1","ko:_1","K16475",NA
"NODE_1208_length_4514_cov_411.666517_g462_i1.p1","ko:_1","K00548",NA
"NODE_1208_length_4514_cov_411.666517_g462_i1.p2","ko:_1","K00548",NA
"NODE_12092_length_2230_cov_1093.484933_g4984_i1.p1","ko:_1","K10960",NA
"NODE_12092_length_2230_cov_1093.484933_g4984_i1.p5","ko:_1","K10960",NA
"NODE_12093_length_2230_cov_109.157163_g2049_i2.p1","ko:_1","K05658",NA
"NODE_12094_length_2230_cov_59.052851_g3432_i1.p5","ko:_1","K16075",NA
"NODE_12095_length_2230_cov_48.489569_g3227_i2.p3","ko:_1","K10523",NA
"NODE_12095_length_2230_cov_48.489569_g3227_i2.p3","ko:_2","K10614",NA
"NODE_12097_length_2229_cov_392.973098_g5413_i0.p1","ko:_1","K03106",NA
"NODE_120_length_7177_cov_36.549831_g38_i2.p1","ko:_1","K09420",NA
"NODE_12100_length_2229_cov_66.167904_g3532_i2.p3","ko:_1","K01276",NA
"NODE_12100_length_2229_cov_66.167904_g3532_i2.p3","ko:_2","K01285",NA
"NODE_12101_length_2229_cov_60.697588_g5414_i0.p3","ko:_1","K03833",NA
"NODE_12101_length_2229_cov_60.697588_g5414_i0.p1","ko:_1","K03833",NA
"NODE_12104_length_2228_cov_174.343852_g1230_i3.p1","ko:_1","K04345",NA
"NODE_12104_length_2228_cov_174.343852_g1230_i3.p1","ko:_2","K08789",NA
"NODE_12105_length_2228_cov_160.081206_g3917_i2.p1","ko:_1","K00671",NA
"NODE_12105_length_2228_cov_160.081206_g3917_i2.p1","ko:_2","K02218",NA
"NODE_12106_length_2228_cov_99.118794_g4811_i2.p3","ko:_1","K11446",NA
"NODE_12106_length_2228_cov_99.118794_g4811_i2.p3","ko:_2","K14437",NA
"NODE_12107_length_2228_cov_96.852436_g2831_i2.p1","ko:_1","K12375",NA
"NODE_12109_length_2228_cov_92.713225_g3554_i1.p1","ko:_1","K13126",NA
"NODE_1210_length_4510_cov_24.213883_g526_i0.p1","ko:_1","K01190",NA
"NODE_12113_length_2228_cov_49.876566_g5417_i0.p3","ko:_1","K07198",NA
"NODE_12113_length_2228_cov_49.876566_g5417_i0.p3","ko:_2","K08796",NA
"NODE_12116_length_2228_cov_39.593968_g3905_i1.p1","ko:_1","K10443",NA
"NODE_12116_length_2228_cov_39.593968_g3905_i1.p1","ko:_2","K14309",NA
"NODE_12118_length_2228_cov_31.486775_g5420_i0.p1","ko:_1","K09533",NA
"NODE_1211_length_4510_cov_8.185486_g527_i0.p3","ko:_1","K10523",NA
"NODE_1211_length_4510_cov_8.185486_g527_i0.p3","ko:_2","K11838",NA
"NODE_1211_length_4510_cov_8.185486_g527_i0.p2","ko:_1","K10523",NA
"NODE_1211_length_4510_cov_8.185486_g527_i0.p2","ko:_2","K11838",NA
"NODE_12120_length_2228_cov_24.799072_g5422_i0.p1","ko:_1","K18643",NA
"NODE_12124_length_2227_cov_264.791551_g4189_i3.p2","ko:_1","K12878",NA
"NODE_12126_length_2227_cov_84.186630_g5425_i0.p1","ko:_1","K16732",NA
"NODE_12128_length_2227_cov_82.894150_g4327_i2.p1","ko:_1","K01581",NA
"NODE_1212_length_4509_cov_106.393372_g447_i1.p1","ko:_1","K00960",NA
"NODE_1212_length_4509_cov_106.393372_g447_i1.p1","ko:_2","K10908",NA
"NODE_1212_length_4509_cov_106.393372_g447_i1.p1","ko:_3","K11446",NA
"NODE_12132_length_2227_cov_32.681523_g2102_i4.p1","ko:_1","K04412",NA
"NODE_12132_length_2227_cov_32.681523_g2102_i4.p1","ko:_2","K08838",NA
"NODE_12132_length_2227_cov_32.681523_g2102_i4.p1","ko:_3","K16288",NA
"NODE_12132_length_2227_cov_32.681523_g2102_i4.p1","ko:_4","K17546",NA
"NODE_12133_length_2227_cov_30.546425_g5426_i0.p1","ko:_1","K13291",NA
"NODE_12134_length_2226_cov_255.671157_g2796_i4.p1","ko:_1","K17757",NA
"NODE_12144_length_2226_cov_10.540641_g5430_i0.p1","ko:_1","K20246",NA
"NODE_12145_length_2225_cov_436.412175_g5413_i1.p2","ko:_1","K03106",NA
"NODE_12145_length_2225_cov_436.412175_g5413_i1.p6","ko:_1","K03106",NA
"NODE_12147_length_2225_cov_113.408922_g5431_i0.p3","ko:_1","K02470",NA
"NODE_12147_length_2225_cov_113.408922_g5431_i0.p3","ko:_2","K03164",NA
"NODE_12147_length_2225_cov_113.408922_g5431_i0.p1","ko:_1","K02470",NA
"NODE_12147_length_2225_cov_113.408922_g5431_i0.p1","ko:_2","K03164",NA
"NODE_12153_length_2225_cov_37.747677_g5436_i0.p1","ko:_1","K01262",NA
"NODE_12155_length_2225_cov_35.312268_g3721_i3.p1","ko:_1","K08853",NA
"NODE_12157_length_2225_cov_22.137082_g5438_i0.p1","ko:_1","K01872",NA
"NODE_12159_length_2225_cov_19.949814_g5439_i0.p1","ko:_1","K02178",NA
"NODE_12159_length_2225_cov_19.949814_g5439_i0.p1","ko:_2","K06637",NA
"NODE_1215_length_4508_cov_99.829989_g393_i1.p1","ko:_1","K05699",NA
"NODE_1215_length_4508_cov_99.829989_g393_i1.p1","ko:_2","K18620",NA
"NODE_12161_length_2225_cov_15.087361_g5440_i0.p1","ko:_1","K06176",NA
"NODE_12163_length_2225_cov_13.202138_g5442_i0.p1","ko:_1","K01907",NA
"NODE_12163_length_2225_cov_13.202138_g5442_i0.p1","ko:_2","K01908",NA
"NODE_12166_length_2224_cov_74.825198_g5444_i0.p1","ko:_1","K09611",NA
"NODE_12166_length_2224_cov_74.825198_g5444_i0.p2","ko:_1","K09611",NA
"NODE_12168_length_2224_cov_30.128312_g5445_i0.p2","ko:_1","K03515",NA
"NODE_12169_length_2224_cov_22.280335_g3863_i2.p1","ko:_1","K15102",NA
"NODE_1216_length_4508_cov_65.469448_g501_i1.p1","ko:_1","K08869",NA
"NODE_12170_length_2224_cov_21.000930_g5059_i1.p2","ko:_1","K01188",NA
"NODE_12170_length_2224_cov_21.000930_g5059_i1.p2","ko:_2","K05350",NA
"NODE_12170_length_2224_cov_21.000930_g5059_i1.p1","ko:_1","K01188",NA
