Culture,Taxa,Shelf,Treatment,rep,File,DATE,TIME,PAR,Fo(or_F),Fm,FmDec,Fv,FvDEC,Fv/Fm,FvD/FmD,Sigma,p,Alp1,Tau1,Alp2,Tau2,Alp3,Tau3,Alp4,Tau4,TauAv1,TauAv2,TauAv3,Fm(PAM),Fv/Fm(PAM),GAIN,MTF:Alp1,Tau1,Alp2,Tau2,Alp3,Tau3,Alp4,Tau4,TauAv1,TauAv2,TauAv3,Fo-prime,qp-coeff,PAR,ETR,1/Tau,NPQ
Gephyrocapsa oceanica,Coccolithophore,Inner shelf,Iron Add-Back,b,06add_back.B.000,12/3/22,79893,0,7936,12346,12389,4410,4453,0.357,0.359,271.7,0.04,0.71,584,0.19,6359,0.1,187207,--------,-------,1827,19524,0,8600,0.08,1200,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,8050.8,1,0,0,547.4,0
Gephyrocapsa oceanica,Coccolithophore,Inner shelf,Iron Add-Back,b,06add_back.B.001,12/3/22,79934,250,12976,13487,13575,511,599,0.038,0.044,157.6,0.04,0.15,848,0.75,9680,0.09,355114,--------,-------,8186,40394,0,13056,0.01,1200,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,10455.7,0.17,250,95.4,122.2,-0.08
Gephyrocapsa oceanica,Coccolithophore,Inner shelf,Iron Add-Back,b,06add_back.B.002,12/3/22,79975,500,11443,11772,11814,329,371,0.028,0.031,182.1,0.16,0.18,816,0.72,5533,0.09,503916,--------,-------,4577,51438,0,11497,0,1200,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,10010.9,0.19,500,140.9,218.5,0.05
Gephyrocapsa oceanica,Coccolithophore,Inner shelf,Iron Add-Back,b,06add_back.B.003,12/3/22,80016,1000,10402,10606,10651,204,248,0.019,0.023,131.4,0.07,0.42,1441,0.48,6865,0.1,481497,--------,-------,4352,53705,0,10434,0,1200,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,9413.7,0.17,1000,193.5,229.8,0.16
Gephyrocapsa oceanica,Coccolithophore,Inner shelf,Iron Add-Back,b,06add_back.B.004,12/3/22,80056,1500,9333,9457,9498,124,165,0.013,0.017,166.2,0.35,0.39,1471,0.47,7529,0.14,230044,--------,-------,4765,35285,0,9353,0,1200,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,8623.8,0.15,1500,197.4,209.8,0.31
Gephyrocapsa oceanica,Coccolithophore,Inner shelf,Iron Add-Back,b,06add_back.B.005,12/3/22,80097,2000,8549,8657,8687,108,137,0.012,0.016,104.5,0.1,0.37,1214,0.43,6918,0.2,757724,--------,-------,4249,155223,0,8579,0,1200,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,8015.6,0.17,2000,250.3,235.4,0.43
C. closterium UGA8,Diatom,Inner Shelf ,High Fe,a,08pFe19.A.000,10/9/22,69802,0,12570,22468,22358,9898,9787,0.441,0.438,229.8,0.25,0.67,512,0.22,9927,0.11,154256,--------,-------,2871,19900,0,13708,0.08,800,--------,-------,--------,------- -,------- -,------ -,------- -,------,--------,--------,--------,12231.9,1,0,0,348.3,0
C. closterium UGA8,Diatom,Inner Shelf ,High Fe,a,08pFe19.A.001,10/9/22,69842,250,28479,29576,29678,1097,1198,0.037,0.04,175.9,0.28,0.05,478,0.79,24946,0.16,114664,--------,-------,23388,37997,0,28635,0.01,800,--------,-------,--------,------- -,------- -,------ -,------- -,------,--------,--------,--------,15223.4,0.08,250,64,42.8,-0.24
C. closterium UGA8,Diatom,Inner Shelf ,High Fe,a,08pFe19.A.002,10/9/22,69881,500,27272,28231,28299,960,1027,0.034,0.036,181,0.21,0.06,547,0.78,15526,0.15,227118,--------,-------,14408,47096,0,27428,0.01,800,--------,-------,--------,------- -,------- -,------ -,------- -,------,--------,--------,--------,14645.9,0.07,500,117.4,69.4,-0.2
C. closterium UGA8,Diatom,Inner Shelf ,High Fe,a,08pFe19.A.003,10/9/22,69921,1000,25981,26541,26602,560,621,0.021,0.023,182,0.36,0.05,607,0.76,13659,0.19,291823,--------,-------,12891,66783,0,26083,0,800,--------,-------,--------,------- -,------- -,------ -,------- -,------,--------,--------,--------,14241.3,0.05,1000,145.7,77.6,-0.15
C. closterium UGA8,Diatom,Inner Shelf ,High Fe,a,08pFe19.A.004,10/9/22,69961,1500,24371,24639,24676,267,305,0.011,0.012,157.3,0.38,0.06,693,0.56,15081,0.38,513382,--------,-------,13780,205771,0,24468,0,800,--------,-------,--------,------- -,------- -,------ -,------- -,------,--------,--------,--------,13981.5,0.03,1500,112.4,72.6,-0.09
C. closterium UGA8,Diatom,Inner Shelf ,High Fe,b,08pFe19.B.000,10/9/22,70475,0,11926,21911,21804,9986,9878,0.456,0.453,227,0.25,0.66,503,0.21,8171,0.13,119122,--------,-------,2335,17777,0,13066,0.09,800,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,11624.4,1,0,0,428.3,0
C. closterium UGA8,Diatom,Inner Shelf ,High Fe,b,08pFe19.B.001,10/9/22,70514,250,28381,29269,29315,889,934,0.03,0.032,173.5,0.36,0.04,433,0.76,28850,0.2,150151,--------,-------,27354,51769,0,28529,0.01,800,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,14825.2,0.06,250,50.1,36.6,-0.25
C. closterium UGA8,Diatom,Inner Shelf ,High Fe,b,08pFe19.B.002,10/9/22,70554,500,26448,27185,27244,737,797,0.027,0.029,163.3,0.26,0.05,558,0.78,18948,0.17,360058,--------,-------,17838,75043,0,26583,0.01,800,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,14157.8,0.06,500,89.4,56.1,-0.19
C. closterium UGA8,Diatom,Inner Shelf ,High Fe,b,08pFe19.B.003,10/9/22,70594,1000,24432,24893,24925,461,492,0.019,0.02,176.7,0.32,0.05,591,0.74,15147,0.21,292965,--------,-------,14242,73346,0,24523,0,800,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,13571,0.04,1000,122.2,70.2,-0.12
C. closterium UGA8,Diatom,Inner Shelf ,High Fe,b,08pFe19.B.004,10/9/22,70633,1500,22475,22702,22731,227,257,0.01,0.011,167,0.52,0.05,645,0.6,16556,0.36,403515,--------,-------,15413,154557,0,22539,0,800,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,13230.7,0.02,1500,99,64.9,-0.03
C. closterium UGA8,Diatom,Inner Shelf ,High Fe,b,08pFe19.B.005,10/9/22,70673,2000,20756,20672,20617,-84,-139,-0.004,-0.007,538.8,0.04,0.94,32,0.04,7164,0.02,171372,--------,-------,344,4022,0,20742,0,800,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,12960.1,-0.01,2000,-53.4,2905.1,0.06
C. closterium UGA8,Diatom,Inner Shelf ,High Fe,c,08pFe19.C.000,10/9/22,71237,0,11418,18328,18432,6910,7015,0.377,0.381,259,0.27,0.77,607,0.14,13646,0.09,241894,--------,-------,2640,24273,0,12291,0.07,1200,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,12190.5,1,0,0,378.8,0
C. closterium UGA8,Diatom,Inner Shelf ,High Fe,c,08pFe19.C.001,10/9/22,71277,250,26118,26580,26651,463,534,0.017,0.02,178.7,0.48,0.03,388,0.51,33657,0.46,112509,--------,-------,31664,68954,0,26230,0,1000,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,13944.3,0.04,250,39.6,31.6,0.66
C. closterium UGA8,Diatom,Inner Shelf ,High Fe,c,08pFe19.C.002,10/9/22,71318,500,24381,24801,24888,420,507,0.017,0.02,177.1,0.46,0.03,419,0.7,25476,0.27,269633,--------,-------,24444,89535,0,24482,0,1000,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,13016.1,0.04,500,77,40.9,0.78
C. closterium UGA8,Diatom,Inner Shelf ,High Fe,c,08pFe19.C.003,10/9/22,71359,1000,22791,23055,23078,264,287,0.011,0.012,180.4,0.47,0.04,514,0.62,20658,0.34,404741,--------,-------,19442,148704,0,22865,0,1000,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,12643.8,0.03,1000,104.3,51.4,0.92
C. closterium UGA8,Diatom,Inner Shelf ,High Fe,c,08pFe19.C.004,10/9/22,71399,1500,21064,21178,21201,114,136,0.005,0.006,182.1,0.58,0.04,528,0.32,19765,0.64,1044550,--------,-------,17540,676619,0,21137,0,1000,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,12334.9,0.01,1500,73.6,57,1.09
C. closterium UGA8,Diatom,Inner Shelf ,High Fe,c,08pFe19.C.005,10/9/22,71440,2000,19414,19329,19325,-85,-89,-0.004,-0.005,533.9,0.04,0.64,153,0.3,9575,0.06,60000,--------,-------,3141,6330,0,19405,0,1000,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,12073.9,-0.01,2000,-79.9,318.3,1.29
C. closterium UGA8,Diatom,Inner Shelf ,Low Fe,a,08pFe21.9.A.000,10/9/22,71629,0,6647,11239,11326,4592,4679,0.409,0.413,281.1,0.05,0.69,708,0.21,7746,0.1,198946,--------,-------,2359,22896,0,7404,0.1,1400,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,7247.6,1,0,0,423.9,0
C. closterium UGA8,Diatom,Inner Shelf ,Low Fe,a,08pFe21.9.A.001,10/9/22,71669,250,13867,14033,14057,166,190,0.012,0.013,158.5,0.59,0.03,369,0.45,30662,0.51,733050,--------,-------,28686,390286,0,13939,0.01,1200,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,8593.6,0.03,250,26.9,34.9,0.93
C. closterium UGA8,Diatom,Inner Shelf ,Low Fe,a,08pFe21.9.A.002,10/9/22,71710,500,11420,11530,11555,111,135,0.01,0.012,150.7,0.48,0.04,425,0.5,27320,0.46,808190,--------,-------,25469,384452,0,11470,0,1200,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,7382.3,0.03,500,43.8,39.3,1.35
C. closterium UGA8,Diatom,Inner Shelf ,Low Fe,a,08pFe21.9.A.003,10/9/22,71751,1000,10079,10138,10151,59,73,0.006,0.007,165.8,0.68,0.03,496,0.34,26765,0.62,1158779,--------,-------,24366,730856,0,10112,0,1200,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,6860.9,0.02,1000,53.3,41,1.67
C. closterium UGA8,Diatom,Inner Shelf ,Low Fe,a,08pFe21.9.A.004,10/9/22,71791,1500,9256,9357,9372,101,115,0.011,0.012,38.2,0.61,0.07,701,0.42,17611,0.51,664610,--------,-------,15082,347251,0,9277,0,1200,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,6639.5,0.04,1500,147,66.3,1.9
C. closterium UGA8,Diatom,Inner Shelf ,Low Fe,a,08pFe21.9.A.005,10/9/22,71832,2000,8626,8601,8602,-25,-25,-0.003,-0.003,539.3,0.04,0.24,418,0.67,11253,0.09,60000,--------,-------,8383,13018,0,8623,0,1200,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,6456.4,-0.01,2000,-53.6,119.3,2.15
C. closterium UGA8,Diatom,Inner Shelf ,Low Fe,b,08pFe21.9.B.000,10/10/22,48721,0,9407,14890,15096,5483,5689,0.368,0.377,275.4,0.14,0.56,431,0.35,3268,0.08,293857,--------,-------,1522,26161,0,10234,0.08,1200,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,9948.6,1,0,0,657,0
C. closterium UGA8,Diatom,Inner Shelf ,Low Fe,b,08pFe21.9.B.001,10/10/22,48761,250,9672,10401,10433,729,761,0.07,0.073,216.3,0.03,0.19,408,0.77,6208,0.04,459932,--------,-------,5053,23923,0,9760,0.01,1200,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,7341.4,0.24,250,173.5,197.9,0.43
C. closterium UGA8,Diatom,Inner Shelf ,Low Fe,b,08pFe21.9.B.002,10/10/22,48801,500,7630,8179,8182,549,552,0.067,0.067,206.8,0.03,0.24,618,0.69,4196,0.07,631908,--------,-------,3261,48188,0,7708,0.01,1200,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,6031.7,0.26,500,332.4,306.6,0.82
C. closterium UGA8,Diatom,Inner Shelf ,Low Fe,b,08pFe21.9.B.003,10/10/22,48840,1000,7109,7445,7445,336,336,0.045,0.045,222.3,0.12,0.25,630,0.67,3561,0.07,704657,--------,-------,2766,54482,0,7153,0.01,1200,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,5627.2,0.19,1000,447.5,361.6,1
C. closterium UGA8,Diatom,Inner Shelf ,Low Fe,b,08pFe21.9.B.004,10/10/22,48880,1500,6598,6762,6759,164,162,0.024,0.024,225,0.14,0.38,1031,0.52,4519,0.1,489348,--------,-------,3041,49263,0,6621,0,1200,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,5312.1,0.11,1500,360.6,328.9,1.2
C. closterium UGA8,Diatom,Inner Shelf ,Low Fe,b,08pFe21.9.B.005,10/10/22,48920,2000,6112,6148,6163,36,52,0.006,0.008,215.6,0.66,0.23,1267,0.43,7712,0.34,639669,--------,-------,5478,224236,0,6125,0,1200,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,5089.9,0.03,2000,117.2,182.5,1.42
C. closterium UGA8,Diatom,Inner Shelf ,Low Fe,c,08pFe21.9.C.000,10/10/22,49118,0,6578,10539,10682,3961,4104,0.376,0.384,284.5,0.08,0.53,495,0.38,3151,0.09,256518,--------,-------,1597,24562,0,7222,0.09,1400,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,7017.3,1,0,0,626,0
C. closterium UGA8,Diatom,Inner Shelf ,Low Fe,c,08pFe21.9.C.001,10/10/22,49157,250,7273,7777,7808,504,535,0.065,0.069,224.7,0.03,0.19,368,0.78,5036,0.03,524423,--------,-------,4139,19942,0,7334,0.01,1400,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,5768,0.25,250,162.4,241.6,0.36
C. closterium UGA8,Diatom,Inner Shelf ,Low Fe,c,08pFe21.9.C.002,10/10/22,49197,500,5746,6100,6125,354,380,0.058,0.062,201.3,0.03,0.26,338,0.71,3442,0.04,604068,--------,-------,2613,24985,0,5786,0.01,1400,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,4691.3,0.25,500,291.1,382.7,0.73
C. closterium UGA8,Diatom,Inner Shelf ,Low Fe,c,08pFe21.9.C.003,10/10/22,49237,1000,5352,5555,5560,204,209,0.037,0.038,251.7,0.08,0.26,603,0.66,3403,0.08,665297,--------,-------,2613,52518,0,5384,0.01,1400,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,4361.1,0.17,1000,367.8,382.7,0.9
C. closterium UGA8,Diatom,Inner Shelf ,Low Fe,c,08pFe21.9.C.004,10/10/22,49277,1500,5014,5088,5092,74,78,0.015,0.015,263.8,0.54,0.18,915,0.66,4570,0.16,275032,--------,-------,3790,46019,0,5025,0,1400,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,4117.7,0.08,1500,220.1,263.9,1.07
C. closterium UGA8,Diatom,Inner Shelf ,Low Fe,c,08pFe21.9.C.005,10/10/22,49316,2000,4668,4660,4659,-8,-9,-0.002,-0.002,1448.3,0.4,0.62,62,0.37,1946,0.01,60000,--------,-------,769,1135,0,4667,0,1400,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,3924.6,-0.01,2000,-33.5,1301.2,1.26
C. closterium UGA8,Diatom,Inner Shelf ,Iron Add-Back,a,08add_back.A.000,10/11/22,51681,0,2218,4070,4115,1853,1897,0.455,0.461,271.2,0.18,0.63,545,0.28,7809,0.09,265466,--------,-------,2778,26377,0,2482,0.11,1800,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,2304.6,1,0,0,359.9,0
C. closterium UGA8,Diatom,Inner Shelf ,Iron Add-Back,a,08add_back.A.001,10/11/22,51721,250,3593,3774,3798,181,205,0.048,0.054,206.3,0.11,0.12,581,0.8,10767,0.08,177310,--------,-------,9427,23140,0,3618,0.01,1800,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,2465.2,0.14,250,94.5,106.1,0.08
C. closterium UGA8,Diatom,Inner Shelf ,Iron Add-Back,a,08add_back.A.002,10/11/22,51761,500,2785,2950,2962,165,176,0.056,0.06,195.5,0.04,0.2,750,0.72,6622,0.08,562400,--------,-------,5337,51232,0,2810,0.01,1800,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,2042.2,0.18,500,220.1,187.4,0.38
C. closterium UGA8,Diatom,Inner Shelf ,Iron Add-Back,a,08add_back.A.003,10/11/22,51801,1000,2589,2672,2685,83,96,0.031,0.036,200.6,0.26,0.2,901,0.67,6287,0.13,279572,--------,-------,5030,40797,0,2602,0.01,1800,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,1938.9,0.11,1000,244.9,198.8,0.52
C. closterium UGA8,Diatom,Inner Shelf ,Iron Add-Back,a,08add_back.A.004,10/11/22,51841,1500,2420,2462,2466,42,46,0.017,0.019,109.6,0.04,0.39,1206,0.57,6891,0.04,60000,--------,-------,4595,6793,0,2421,0,1800,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,1881,0.07,1500,201.5,217.6,0.65
C. closterium UGA8,Diatom,Inner Shelf ,Iron Add-Back,a,08add_back.A.005,10/11/22,51881,2000,2269,2261,2260,-7,-9,-0.003,-0.004,534,0.04,0.35,2331,0.63,3590,0.01,60000,--------,-------,3139,3839,0,2269,0,1800,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,1843.3,-0.02,2000,-49.9,318.6,0.8
C. closterium UGA8,Diatom,Inner Shelf ,Iron Add-Back,b,08add_back.B.000,10/11/22,50687,0,22757,35651,35844,12894,13087,0.362,0.365,253,0.29,0.66,498,0.26,3600,0.08,328272,--------,-------,1379,28102,0,24349,0.07,800,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,24197.1,1,0,0,724.9,0
C. closterium UGA8,Diatom,Inner Shelf ,Iron Add-Back,b,08add_back.B.001,10/11/22,50726,250,26651,28458,28586,1807,1935,0.064,0.068,185.6,0.07,0.12,423,0.8,11366,0.07,204194,--------,-------,9910,23896,0,26882,0.01,800,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,16598.9,0.15,250,147.1,100.9,0.25
C. closterium UGA8,Diatom,Inner Shelf ,Iron Add-Back,b,08add_back.B.002,10/11/22,50766,500,20523,22036,22069,1513,1546,0.069,0.07,176.3,0.03,0.18,455,0.76,6699,0.06,492513,--------,-------,5520,36357,0,20710,0.01,800,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,13836.2,0.18,500,318.1,181.2,0.62
C. closterium UGA8,Diatom,Inner Shelf ,Iron Add-Back,b,08add_back.B.003,10/11/22,50806,1000,19226,20240,20267,1014,1041,0.05,0.051,178.4,0.03,0.21,709,0.71,5791,0.08,587664,--------,-------,4628,49241,0,19354,0.01,800,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,12997.9,0.14,1000,464.1,216.1,0.76
C. closterium UGA8,Diatom,Inner Shelf ,Iron Add-Back,b,08add_back.B.004,10/11/22,50846,1500,18056,18764,18791,707,735,0.038,0.039,186.8,0.03,0.28,935,0.62,5535,0.09,269231,--------,-------,4105,29273,0,18150,0.01,800,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,12710.7,0.12,1500,523.7,243.6,0.9
C. closterium UGA8,Diatom,Inner Shelf ,Iron Add-Back,b,08add_back.B.005,10/11/22,50886,2000,16911,17242,17267,331,356,0.019,0.021,165,0.23,0.27,1169,0.59,6202,0.14,163856,--------,-------,4620,27608,0,16955,0,800,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,12534.9,0.07,2000,355.3,216.4,1.07
C. closterium UGA8,Diatom,Inner Shelf ,Iron Add-Back,c,08add_back.C.000,10/11/22,51331,0,20624,47327,47330,26703,26706,0.564,0.564,250.7,0.35,0.7,410,0.22,3549,0.09,244085,--------,-------,1151,22040,0,23588,0.13,600,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,22145.4,1,0,0,868.7,0
C. closterium UGA8,Diatom,Inner Shelf ,Iron Add-Back,c,08add_back.C.001,10/11/22,51370,250,40780,44029,44237,3249,3457,0.074,0.078,184.3,0.04,0.15,469,0.79,11104,0.06,224744,--------,-------,9396,22623,0,41179,0.01,600,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,25864.7,0.18,250,108.6,106.4,0.07
C. closterium UGA8,Diatom,Inner Shelf ,Iron Add-Back,c,08add_back.C.002,10/11/22,51410,500,31120,33961,34065,2841,2944,0.084,0.086,169.9,0.03,0.21,464,0.74,6025,0.05,492546,--------,-------,4785,28015,0,31428,0.01,600,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,21505.6,0.23,500,246.1,209,0.39
C. closterium UGA8,Diatom,Inner Shelf ,Iron Add-Back,c,08add_back.C.003,10/11/22,51450,1000,29476,31409,31477,1933,2001,0.062,0.064,175.6,0.03,0.22,608,0.71,4947,0.07,538669,--------,-------,3923,41701,0,29720,0.01,600,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,20431.3,0.18,1000,362.1,254.9,0.51
C. closterium UGA8,Diatom,Inner Shelf ,Iron Add-Back,c,08add_back.C.004,10/11/22,51490,1500,28013,29331,29402,1318,1390,0.045,0.047,170.5,0.04,0.27,738,0.65,4665,0.07,527321,--------,-------,3512,42549,0,28175,0.01,600,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,19987.6,0.14,1500,396.8,284.8,0.61
C. closterium UGA8,Diatom,Inner Shelf ,Iron Add-Back,c,08add_back.C.005,10/11/22,51530,2000,26318,27006,27059,688,741,0.025,0.027,179.4,0.28,0.26,904,0.61,4929,0.13,309623,--------,-------,3730,42645,0,26416,0,600,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,19713.8,0.09,2000,299.8,268.1,0.75
Gephyrocapsa huxleyi,Coccolithophore,Outer Shelf,High Fe,a,13pFe19.A.000,11/27/22,82617,0,21601,23330,24857,1729,3256,0.074,0.131,262.5,0.06,0.77,987,0.13,16155,0.1,60000,--------,-------,3183,9005,0,21841,0.01,1000,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,22703.8,1,0,0,314.2,0
Gephyrocapsa huxleyi,Coccolithophore,Outer Shelf,High Fe,a,13pFe19.A.001,11/27/22,82657,250,19902,20051,20060,149,158,0.007,0.008,113,0.52,0.07,1002,0.36,27788,0.57,288708,--------,-------,23244,175124,0,19952,0,1000,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,18661.4,0.11,250,87,43,0.16
Gephyrocapsa huxleyi,Coccolithophore,Outer Shelf,High Fe,a,13pFe19.A.002,11/27/22,82697,500,19217,19398,19425,181,208,0.009,0.011,63.1,0.25,0.11,952,0.35,19545,0.54,349902,--------,-------,14949,195307,0,19283,0,1000,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,18045.6,0.13,500,219.3,66.9,0.2
Gephyrocapsa huxleyi,Coccolithophore,Outer Shelf,High Fe,a,13pFe19.A.003,11/27/22,82736,1000,18263,18418,18429,154,165,0.008,0.009,58.1,0.39,0.12,965,0.39,18582,0.49,269029,--------,-------,14557,138828,0,18301,0,1000,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,17272.3,0.13,1000,393,68.7,0.27
Gephyrocapsa huxleyi,Coccolithophore,Outer Shelf,High Fe,a,13pFe19.A.004,11/27/22,82776,1500,17112,17355,17344,243,232,0.014,0.013,24.4,0.21,0.1,707,0.26,13493,0.64,615308,--------,-------,10003,397961,0,17166,0,1000,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,16284.7,0.23,1500,985.9,100,0.34
Gephyrocapsa huxleyi,Coccolithophore,Outer Shelf,High Fe,a,13pFe19.A.005,11/27/22,82815,2000,16002,15993,16024,-9,22,-0.001,0.001,154.6,0.08,0.21,738,0.77,8479,0.03,60000,--------,-------,6832,8263,0,15993,0,1000,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,15263.4,-0.01,2000,-53.8,146.4,0.46
Gephyrocapsa huxleyi,Coccolithophore,Outer Shelf,High Fe,b,13pFe19.B.000,11/27/22,83880,0,22876,24510,26455,1634,3579,0.067,0.135,241.2,0.06,0.77,1044,0.17,19236,0.06,60000,--------,-------,4316,7489,0,23092,0.01,1000,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,24004.6,1,0,0,231.7,0
Gephyrocapsa huxleyi,Coccolithophore,Outer Shelf,High Fe,b,13pFe19.B.001,11/27/22,83920,250,21117,21309,21346,192,229,0.009,0.011,62.3,0.2,0.11,939,0.38,21488,0.51,285545,--------,-------,16944,153516,0,21182,0,1000,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,19893.8,0.14,250,108.1,59,0.15
Gephyrocapsa huxleyi,Coccolithophore,Outer Shelf,High Fe,b,13pFe19.B.002,11/27/22,83961,500,20344,20537,20573,193,229,0.009,0.011,52.6,0.31,0.13,1042,0.37,21259,0.5,275280,--------,-------,16055,145767,0,20397,0,1000,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,19195.2,0.14,500,225.4,62.3,0.19
Gephyrocapsa huxleyi,Coccolithophore,Outer Shelf,High Fe,b,13pFe19.B.003,11/27/22,84002,1000,19447,19434,19488,-14,40,-0.001,0.002,147.7,0.08,0.1,746,0.87,14042,0.02,60000,--------,-------,12651,13767,0,19439,0,1000,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,18337.5,-0.01,1000,-33.7,79,0.26
Gephyrocapsa huxleyi,Coccolithophore,Outer Shelf,High Fe,b,13pFe19.B.004,11/27/22,84043,1500,18339,18053,19009,-286,669,-0.016,0.035,62.8,0.09,1,10,0,8082,0,60000,--------,-------,39,69,0,18327,0,1000,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,17392.2,-0.43,1500,-1139.2,25719.1,0.36
Gephyrocapsa huxleyi,Coccolithophore,Outer Shelf,High Fe,b,13pFe19.B.005,11/27/22,84084,2000,17220,17067,18006,-154,785,-0.009,0.044,77.9,0.09,0.99,10,0.01,7513,0,60000,--------,-------,89,175,0,17208,0,1000,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,16426.7,-0.24,2000,-863.2,11240.9,0.44
Gephyrocapsa huxleyi,Coccolithophore,Outer Shelf,High Fe,c,13pFe19.C.000,11/27/22,85073,0,21958,23717,25034,1759,3076,0.074,0.123,245,0.05,0.73,876,0.16,8193,0.11,60000,--------,-------,2212,8282,0,22176,0.01,1000,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,22925.8,1,0,0,452,0
Gephyrocapsa huxleyi,Coccolithophore,Outer Shelf,High Fe,c,13pFe19.C.001,11/27/22,85114,250,21021,21188,21202,167,181,0.008,0.009,82.4,0.24,0.09,818,0.43,24565,0.48,242938,--------,-------,20463,127882,0,21073,0,1000,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,19556.4,0.1,250,86.1,48.9,0.12
Gephyrocapsa huxleyi,Coccolithophore,Outer Shelf,High Fe,c,13pFe19.C.002,11/27/22,85154,500,20361,20616,20670,255,309,0.012,0.015,39,0.52,0.11,883,0.32,21902,0.57,330171,--------,-------,16664,195980,0,20419,0,1000,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,18970.3,0.15,500,270.6,60,0.15
